bins	ANE_004_05M	ANE_004_40M	ANE_150_05M	ANE_150_40M	ANE_151_05M	ANE_151_80M	ANE_152_05M	ANW_141_05M	ANW_142_05M	ANW_145_05M	ANW_146_05M	ANW_148_05M	ANW_149_05M	ASE_66_05M	ASE_66_30M	ASE_67_05M	ASE_68_05M	ASE_68_50M	ASE_70_05M	ASW_72_05M	ASW_72_100M	ASW_76_05M	ASW_78_05M	ASW_82_05M	ASW_82_40M
JFKO01	0.0012908223219629431	0.0007599290121608896	0.011163506041791282	0.019929479662903996	0.002059008575119673	0.0010633099689377316	0.00034524635473362454	0.0938779587884911	0.14412155794460138	0.00557148022850802	0.07400963353167271	0.09885035096836337	0.035610315068932814	0.004454104945106739	0.0010258064795368857	0.0	0.0003709091629635271	0.00046985698607113446	0.00678462037788441	0.16867906151867268	0.030859785027712198	0.1462957315395623	0.10449085882764395	0.0	0.0
JFKP01	0.00760468435148643	0.0023934327180768823	0.008705254620294051	0.006931758118896851	0.0022147625914631396	0.0021067223536747406	0.0017191472378439638	0.24020712983846787	0.18504410365371776	0.0013796769712682573	0.04076848776658411	0.12479312077850739	0.013104577498890116	0.001225934788057893	0.0019318408768133279	0.0	0.0017933406979581158	0.0033236634686918403	0.007826162758519484	0.08522294980086988	0.010512302387791748	0.0632710664500072	0.04672094528908697	0.000882729449435165	0.0
JFKQ01	0.003080786993168985	0.0003581382124889246	0.0044629316773161015	0.007015680445433674	0.0006466684036936305	0.000244310801074042	0.0002822370068072937	0.2939281311415673	0.205207415971148	0.005062349989829998	0.04480866938517238	0.1471447342761169	0.011604579942278528	0.0007735599733748758	1.04523800330478e-05	0.0	0.0003464774508252617	0.000253068240457248	0.002818350599491336	0.07230161353511971	0.0071120826346831815	0.04573312479836886	0.04088563302628587	0.0	0.0
JFKR01	0.005299058790909068	0.0009042766357312587	0.003763267169622296	0.005088563019589577	0.002846939938829965	0.002183238036737926	0.001313531668866713	0.2875866923199462	0.19692739759054811	0.0004430211867849046	0.04436335209484388	0.1272031986097702	0.00878760290530762	0.0007602106717674427	0.0011936243651186282	0.003069215633031315	0.003210378492418196	0.0018761952758970584	0.0010495384625214242	0.07648338320725986	0.008597127305857584	0.04928733057623567	0.049642332085847146	0.005505139853287849	0.0005935261797728264
JFKS01	0.00011587094091496217	7.263346599653038e-05	0.010612022962890679	0.009792930620617155	0.0022186019506487656	0.0004930664205068275	0.0026595744680851063	0.11126536403994251	0.23556939088726414	0.004575481734296731	0.12662413141561832	0.14339633363652432	0.02025085937056706	0.001379930304881646	0.0008338216812722772	0.0	4.959777455896106e-05	0.00012829657642646712	0.0069975026357754445	0.10735485737462834	0.023538198086566382	0.09111869385011276	0.07435709512105357	0.0	0.0
JFKT01	0.0014887477243932024	0.00039643980811658196	0.008086477658220846	0.005799261682644451	0.0009504419219507817	0.0007148530232412298	0.0005902135174397969	0.26537463896825575	0.20880682995970118	0.005269330928643349	0.03584571063033969	0.17962678117268724	0.01228546888389098	0.0012001487279416213	0.0	0.0	0.0007239377202229461	0.0029450796286568243	0.000781017834060448	0.08307148699611532	0.007631130747675103	0.05290435002921021	0.05088078676495068	0.0	0.0
JFKU01	0.0014357655659992378	0.00037630481795089126	0.009336519908279902	0.009492865057069198	0.004732711771339439	0.0007005736573173262	0.0006027954914145237	0.16267459598953737	0.19247143956851312	0.0020213887942821243	0.06644448571392883	0.10289453998751005	0.01652234342109742	0.0002927813789817844	0.0002753841266832962	0.0	0.00037691997597844555	0.00046046623738495705	0.0018994489789688498	0.133903910271744	0.013722368954737484	0.10432618602107102	0.07997423074829217	0.0012774928435777542	0.0020889789882369567
JFKV01	4.616371559129457e-05	0.00028621088325208997	0.0028533185920462272	0.005966381244289625	0.000726449245852962	0.0001515022096220823	0.0	0.15019037310978225	0.25666919455703163	0.0	0.0775281801043808	0.1718340942332922	0.01655703211433587	0.0	0.0	0.0	0.0	1.0960141994206878e-05	0.00128396007825948	0.10709548504217893	0.014094126029661024	0.09288242486893195	0.0770716685819726	0.0	0.0
JFKW01	0.0008742353342810461	0.0003586004026948499	0.004436441776563235	0.006029649127917036	0.0012140674965724133	0.0001833132297552217	0.00018450264160875586	0.27332436296292084	0.21561194469041436	0.0012283702489312126	0.045007765732018534	0.17031185508478194	0.011102362543586177	0.00043733429447654693	4.436235600315144e-05	0.0	7.642573899592969e-05	8.170313783957011e-05	0.002821102226738417	0.06459699017172987	0.0061583469727361905	0.04569150388836039	0.04192516479937391	0.0	0.0
JFKX01	0.004295312586390469	0.000618496012827916	0.00320604392756458	0.006988062450728138	0.002552921141815038	0.0002405631571079944	7.391556244467093e-05	0.28464954065274584	0.19574011560064544	0.0	0.0400667584026788	0.13503557580511477	0.013479274314704965	0.0014028931683975165	0.0	0.0	0.001171961313974135	0.0007207165578075108	0.005012509651222197	0.07720775197238211	0.003664660614375488	0.048101980491360156	0.050102497417851284	0.0	0.0
