bins	ANE_004_05M	ANE_004_40M	ANE_150_05M	ANE_150_40M	ANE_151_05M	ANE_151_80M	ANE_152_05M	ANW_141_05M	ANW_142_05M	ANW_145_05M	ANW_146_05M	ANW_148_05M	ANW_149_05M	ASE_66_05M	ASE_66_30M	ASE_67_05M	ASE_68_05M	ASE_68_50M	ASE_70_05M	ASW_72_05M	ASW_72_100M	ASW_76_05M	ASW_78_05M	ASW_82_05M	ASW_82_40M
JFKO01	0.006821340451805014	0.004548937582865981	0.04683434667595451	0.07710875111379153	0.00984394012661118	0.0059072221119929325	0.0017540715630694058	0.3805293795450146	0.5254663173077163	0.011724691388975406	0.29881672313555174	0.37696226589717896	0.15017659171487374	0.008736557888384601	0.005811155372017586	0.0	0.0020408804720765702	0.002465759411401877	0.029049516059772566	0.6345034039334467	0.13479123003332308	0.5647922040378723	0.39285388685011724	0.0	0.0
JFKP01	0.020094734945421053	0.007066851155805376	0.02143380757515047	0.020854018620334737	0.007731801792245086	0.005610379001181718	0.003692510084373297	0.4789203589647108	0.3739489498246543	0.0029644268774703555	0.09709272746323312	0.2692474087223592	0.03139634835591168	0.004908516899329235	0.00561515855580916	0.0	0.004340188743170065	0.007499872554040709	0.016131437749060132	0.18549745204051277	0.029736766455499386	0.15278231021987765	0.11116214692370349	0.0009881422924901185	0.0
JFKQ01	0.007632779989764964	0.0010874649068514973	0.013601796816684523	0.018480483913967963	0.002856170911168937	0.0011881436274299448	0.0012234061843205235	0.6033372948337593	0.4217131017402304	0.00778816199376947	0.1176157537160584	0.33283975338614924	0.03453519308552143	0.0028793597751511544	0.00010087668410090325	0.0	0.0013170083437740077	0.0012045090484572413	0.006491985057097884	0.1572774581517145	0.02212452765736493	0.11511287669542246	0.09716400214639812	0.0	0.0
JFKR01	0.012129836692451873	0.003411733750845082	0.014192019872642564	0.018021770994578506	0.009863292576681197	0.006079687250401028	0.006160441114627627	0.5586174245153949	0.387527001489284	0.0009845860471729675	0.10724857416208497	0.2760248852890673	0.02356633195746778	0.0028333291062223524	0.002201124422522182	0.005995677805680015	0.007005291131542791	0.005790153748084924	0.0038276043777217797	0.16800540235175054	0.022656688214721298	0.12566074850382614	0.10881793668817366	0.009231828434135031	0.0011155307476230308
JFKS01	0.00041068528525780424	0.0002882427946964845	0.027361428511411247	0.03653839690645506	0.00717777551541798	0.001978639396916987	0.0026595744680851063	0.3830423830365136	0.7272195686205297	0.007978723404255319	0.4151407027861088	0.4881574385157323	0.08943447747587636	0.005679802118106948	0.0031865371210656255	0.0	0.00018021930292760565	0.00045447142039492804	0.020325019494826117	0.383463902359466	0.08806638116449113	0.3394249990804977	0.24890884846603398	0.0	0.0
JFKT01	0.0053508264921346485	0.0014376751930564753	0.014675012855665926	0.01579335316924756	0.003387713280221427	0.0017203224520366607	0.002145682951850564	0.6187382107447515	0.49153820680326515	0.007462686567164179	0.0877034715834264	0.43546029662922436	0.027745118832307784	0.0024875621890547263	0.0	0.0	0.002814888666571302	0.004293704886264893	0.0027166741359051206	0.20483930574135017	0.021717183122734424	0.15248751026383725	0.13076773994949184	0.0	0.0
JFKU01	0.005141182626141169	0.0012992890684047403	0.026630088011795228	0.03417621166568309	0.011278033121118029	0.0032046537347020093	0.0023558117835942778	0.4686961777662787	0.5547426147810574	0.003530146692388387	0.19690754531641258	0.3235289507847301	0.054498383742033696	0.0019368622387070055	0.0017809304413755579	0.0	0.001871887992280802	0.0021791800267733966	0.007841490378232847	0.4003062822672916	0.046489101202258416	0.3249028068374528	0.239979714455235	0.0022707391802520237	0.0033176951762300014
JFKV01	0.00016364696006883992	0.0011723401047733933	0.01134866414863041	0.02043594111147314	0.002308353585217637	0.0006416360437543793	0.0	0.5120592041313102	0.771181778413835	0.0	0.24707518167074038	0.5711193724687524	0.057775648409938846	0.0	0.0	0.0	0.0	5.272681530515327e-05	0.005350606457869139	0.3480430437052311	0.04158124267966431	0.3285428336950357	0.25621989265206363	0.0	0.0
JFKW01	0.0035092431454106935	0.0013290698236649962	0.012155944849577658	0.014781589874862352	0.004491893165952971	0.0007958847766085363	0.0007536296142157369	0.5467774225158933	0.43450183850116614	0.002364980153262131	0.11083344340371025	0.36332948121954994	0.026935009421970187	0.0012840998270586949	0.0002574603030299881	0.0	0.00025395548348581653	0.00021120521402096112	0.006155907069181998	0.15628275290708774	0.01870297517584763	0.1188166078832329	0.10303354787604035	0.0	0.0
JFKX01	0.009363358401681652	0.0015755688082372099	0.008923163622276528	0.01487502046921131	0.005710441688603583	0.0013741637443302182	0.0003789690616783341	0.6027789273247114	0.42276989264487147	0.0	0.09792885797985272	0.3081110124099881	0.03659445279963258	0.00267379679144385	0.0	0.0	0.0025941909113235836	0.0017211279300302928	0.009371618219261604	0.1794800391746325	0.013926228338643976	0.12604121633730528	0.11509714087552433	0.0	0.0
