gene_callers_id	detection
265071	NOT DETECTED
265072	NOT DETECTED
265073	NOT DETECTED
265074	NOT DETECTED
265075	NOT DETECTED
265076	NOT DETECTED
265077	NOT DETECTED
265078	NOT DETECTED
265079	NOT DETECTED
265080	NOT DETECTED
265081	NOT DETECTED
265082	NOT DETECTED
265083	NOT DETECTED
265084	NOT DETECTED
265085	NOT DETECTED
265086	NOT DETECTED
265087	NOT DETECTED
265088	NOT DETECTED
265089	NOT DETECTED
265090	NOT DETECTED
265091	NOT DETECTED
265092	NOT DETECTED
265093	NOT DETECTED
265094	NOT DETECTED
265095	NOT DETECTED
265096	NOT DETECTED
265097	NOT DETECTED
265098	NOT DETECTED
265099	NOT DETECTED
265100	NOT DETECTED
265101	NOT DETECTED
265102	NOT DETECTED
265103	NOT DETECTED
265104	NOT DETECTED
265105	NOT DETECTED
265106	NOT DETECTED
265107	NOT DETECTED
265108	NOT DETECTED
265109	NOT DETECTED
265110	NOT DETECTED
265111	NOT DETECTED
265112	NOT DETECTED
265113	NOT DETECTED
265114	NOT DETECTED
265115	NOT DETECTED
265116	NOT DETECTED
265117	NOT DETECTED
265118	NOT DETECTED
265119	NOT DETECTED
265120	NOT DETECTED
265121	NOT DETECTED
265122	NOT DETECTED
265123	NOT DETECTED
265124	NOT DETECTED
265125	NOT DETECTED
265126	NOT DETECTED
265127	NOT DETECTED
265128	NOT DETECTED
265129	NOT DETECTED
265130	NOT DETECTED
265131	DETECTED
265132	DETECTED
265133	DETECTED
265134	DETECTED
265135	DETECTED
265136	DETECTED
265137	NOT DETECTED
265138	DETECTED
265139	DETECTED
265140	DETECTED
265141	NOT DETECTED
265142	DETECTED
265143	DETECTED
265144	DETECTED
265145	DETECTED
265146	DETECTED
265147	DETECTED
265148	DETECTED
265149	DETECTED
265150	DETECTED
265151	DETECTED
265152	DETECTED
265153	DETECTED
265154	DETECTED
265155	DETECTED
265156	DETECTED
265157	DETECTED
265158	DETECTED
265159	NOT DETECTED
265160	NOT DETECTED
265161	DETECTED
265162	DETECTED
265163	NOT DETECTED
265164	DETECTED
265165	NOT DETECTED
265166	DETECTED
265167	DETECTED
265168	DETECTED
265169	DETECTED
265170	DETECTED
265171	DETECTED
265172	DETECTED
265173	DETECTED
265174	DETECTED
265175	DETECTED
265176	DETECTED
265177	DETECTED
265178	DETECTED
265179	DETECTED
265180	DETECTED
265181	DETECTED
265182	DETECTED
265183	DETECTED
265184	DETECTED
265185	DETECTED
265186	DETECTED
265187	DETECTED
265188	DETECTED
265189	DETECTED
265190	DETECTED
265191	DETECTED
265192	DETECTED
265193	DETECTED
265194	DETECTED
265195	DETECTED
265196	DETECTED
265197	DETECTED
265198	DETECTED
265199	DETECTED
265200	DETECTED
265201	DETECTED
265202	DETECTED
265203	DETECTED
265204	DETECTED
265205	DETECTED
265206	DETECTED
265207	DETECTED
265208	DETECTED
265209	DETECTED
265210	DETECTED
265211	DETECTED
265212	DETECTED
265213	DETECTED
265214	DETECTED
265215	DETECTED
265216	DETECTED
265217	DETECTED
265218	DETECTED
265219	DETECTED
265220	DETECTED
265221	DETECTED
265222	DETECTED
265223	DETECTED
265224	DETECTED
265225	DETECTED
265226	DETECTED
265227	NOT DETECTED
265228	DETECTED
265229	DETECTED
265230	DETECTED
265231	DETECTED
265232	DETECTED
265233	DETECTED
265234	DETECTED
265235	DETECTED
265236	DETECTED
265237	DETECTED
265238	DETECTED
265239	DETECTED
265240	DETECTED
265241	DETECTED
265242	DETECTED
265243	DETECTED
265244	DETECTED
265245	DETECTED
265246	DETECTED
265247	NOT DETECTED
265248	DETECTED
265249	DETECTED
265250	DETECTED
265251	DETECTED
265252	DETECTED
265253	DETECTED
265254	DETECTED
265255	DETECTED
265256	DETECTED
265257	DETECTED
265258	DETECTED
265259	DETECTED
265260	DETECTED
265261	DETECTED
265262	DETECTED
265263	DETECTED
265264	DETECTED
265265	DETECTED
265266	DETECTED
265267	DETECTED
265268	NOT DETECTED
265269	DETECTED
265270	DETECTED
265271	DETECTED
265272	DETECTED
265273	DETECTED
265274	DETECTED
265275	DETECTED
265276	DETECTED
265277	DETECTED
265278	DETECTED
265279	DETECTED
265280	DETECTED
265281	DETECTED
265282	NOT DETECTED
265283	NOT DETECTED
265284	NOT DETECTED
265285	DETECTED
265286	DETECTED
265287	DETECTED
265288	NOT DETECTED
265289	DETECTED
265290	DETECTED
265291	DETECTED
265292	DETECTED
265293	DETECTED
265294	NOT DETECTED
265295	DETECTED
265296	DETECTED
265297	DETECTED
265298	DETECTED
265299	DETECTED
265300	DETECTED
265301	DETECTED
265302	DETECTED
265303	DETECTED
265304	DETECTED
265305	NOT DETECTED
265306	DETECTED
265307	DETECTED
265308	DETECTED
265309	DETECTED
265310	DETECTED
265311	NOT DETECTED
265312	DETECTED
265313	DETECTED
265314	DETECTED
265315	DETECTED
265316	DETECTED
265317	DETECTED
265318	DETECTED
265319	DETECTED
265320	DETECTED
265321	DETECTED
265322	DETECTED
265323	DETECTED
265324	DETECTED
265325	NOT DETECTED
265326	DETECTED
265327	DETECTED
265328	DETECTED
265329	NOT DETECTED
265330	DETECTED
265331	DETECTED
265332	DETECTED
265333	DETECTED
265334	DETECTED
265335	DETECTED
265336	DETECTED
265337	DETECTED
265338	DETECTED
265339	DETECTED
265340	DETECTED
265341	DETECTED
265342	NOT DETECTED
265343	DETECTED
265344	DETECTED
265345	DETECTED
265346	DETECTED
265347	DETECTED
265348	DETECTED
265349	DETECTED
265350	DETECTED
265351	DETECTED
265352	DETECTED
265353	DETECTED
265354	DETECTED
265355	DETECTED
265356	DETECTED
265357	DETECTED
265358	DETECTED
265359	DETECTED
265360	DETECTED
265361	DETECTED
265362	DETECTED
265363	DETECTED
265364	DETECTED
265365	DETECTED
265366	DETECTED
265367	DETECTED
265368	DETECTED
265369	DETECTED
265370	NOT DETECTED
265371	DETECTED
265372	DETECTED
265373	DETECTED
265374	DETECTED
265375	DETECTED
265376	DETECTED
265377	NOT DETECTED
265378	DETECTED
265379	DETECTED
265380	DETECTED
265381	DETECTED
265382	DETECTED
265383	DETECTED
265384	DETECTED
265385	DETECTED
265386	DETECTED
265387	DETECTED
265388	DETECTED
265389	NOT DETECTED
265390	NOT DETECTED
265391	DETECTED
265392	DETECTED
265393	DETECTED
265394	DETECTED
265395	DETECTED
265396	DETECTED
265397	DETECTED
265398	DETECTED
265399	DETECTED
265400	DETECTED
265401	DETECTED
265402	DETECTED
265403	DETECTED
265404	DETECTED
265405	DETECTED
265406	DETECTED
265407	DETECTED
265408	DETECTED
265409	DETECTED
265410	DETECTED
265411	DETECTED
265412	DETECTED
265413	DETECTED
265414	DETECTED
265415	DETECTED
265416	DETECTED
265417	NOT DETECTED
265418	DETECTED
265419	NOT DETECTED
265420	DETECTED
265421	DETECTED
265422	DETECTED
265423	DETECTED
265424	DETECTED
265425	DETECTED
265426	DETECTED
265427	DETECTED
265428	DETECTED
265429	NOT DETECTED
265430	DETECTED
265431	DETECTED
265432	DETECTED
265433	DETECTED
265434	DETECTED
265435	DETECTED
265436	DETECTED
265437	DETECTED
265438	DETECTED
265439	DETECTED
265440	DETECTED
265441	DETECTED
265442	DETECTED
265443	DETECTED
265444	DETECTED
265445	DETECTED
265446	DETECTED
265447	DETECTED
265448	DETECTED
265449	DETECTED
265450	DETECTED
265451	DETECTED
265452	DETECTED
265453	DETECTED
265454	DETECTED
265455	DETECTED
265456	DETECTED
265457	DETECTED
265458	DETECTED
265459	DETECTED
265460	DETECTED
265461	DETECTED
265462	NOT DETECTED
265463	NOT DETECTED
265464	DETECTED
265465	DETECTED
265466	DETECTED
265467	DETECTED
265468	DETECTED
265469	DETECTED
265470	DETECTED
265471	DETECTED
265472	DETECTED
265473	DETECTED
265474	DETECTED
265475	DETECTED
265476	DETECTED
265477	DETECTED
265478	DETECTED
265479	DETECTED
265480	DETECTED
265481	DETECTED
265482	DETECTED
265483	NOT DETECTED
265484	DETECTED
265485	DETECTED
265486	DETECTED
265487	DETECTED
265488	DETECTED
265489	NOT DETECTED
265490	DETECTED
265491	DETECTED
265492	DETECTED
265493	DETECTED
265494	DETECTED
265495	DETECTED
265496	DETECTED
265497	DETECTED
265498	DETECTED
265499	DETECTED
265500	DETECTED
265501	DETECTED
265502	DETECTED
265503	DETECTED
265504	DETECTED
265505	DETECTED
265506	NOT DETECTED
265507	DETECTED
265508	DETECTED
265509	NOT DETECTED
265510	DETECTED
265511	DETECTED
265512	DETECTED
265513	DETECTED
437546	DETECTED
437547	DETECTED
265514	DETECTED
265515	DETECTED
265516	DETECTED
265517	DETECTED
265518	DETECTED
265519	DETECTED
265520	DETECTED
265523	DETECTED
265524	NOT DETECTED
265525	NOT DETECTED
265526	NOT DETECTED
265527	NOT DETECTED
265528	NOT DETECTED
265529	DETECTED
265530	NOT DETECTED
265531	DETECTED
265532	DETECTED
265533	DETECTED
265534	DETECTED
265535	DETECTED
265536	DETECTED
265537	NOT DETECTED
265538	DETECTED
265539	NOT DETECTED
265540	DETECTED
265541	NOT DETECTED
265542	DETECTED
265543	DETECTED
265544	DETECTED
265545	NOT DETECTED
265546	NOT DETECTED
265547	DETECTED
265548	DETECTED
265549	DETECTED
265550	DETECTED
265551	DETECTED
265552	DETECTED
265553	DETECTED
265554	DETECTED
265555	DETECTED
265556	DETECTED
265557	DETECTED
265558	DETECTED
265559	DETECTED
265560	DETECTED
265561	DETECTED
265562	DETECTED
265563	DETECTED
265564	DETECTED
265565	DETECTED
265566	DETECTED
265567	DETECTED
265568	DETECTED
265569	DETECTED
265570	DETECTED
265571	DETECTED
265572	DETECTED
265573	DETECTED
265574	DETECTED
265575	DETECTED
265576	DETECTED
265577	DETECTED
265578	DETECTED
265579	DETECTED
265580	DETECTED
265581	DETECTED
265582	DETECTED
265583	DETECTED
265584	DETECTED
265585	DETECTED
265586	DETECTED
265587	DETECTED
265588	DETECTED
265589	DETECTED
265590	DETECTED
265591	DETECTED
265592	DETECTED
265593	DETECTED
265594	DETECTED
265595	DETECTED
265596	DETECTED
265597	NOT DETECTED
265598	DETECTED
265599	DETECTED
265600	NOT DETECTED
265601	DETECTED
265602	NOT DETECTED
265603	NOT DETECTED
265604	DETECTED
265605	NOT DETECTED
265606	DETECTED
265607	NOT DETECTED
265608	DETECTED
265609	DETECTED
265610	NOT DETECTED
265611	NOT DETECTED
265612	DETECTED
265613	DETECTED
265614	NOT DETECTED
265615	NOT DETECTED
265616	NOT DETECTED
265617	DETECTED
265618	NOT DETECTED
265619	NOT DETECTED
265620	NOT DETECTED
265621	NOT DETECTED
265622	DETECTED
265623	DETECTED
265624	DETECTED
265625	DETECTED
265626	DETECTED
265627	DETECTED
265628	DETECTED
265629	DETECTED
265630	DETECTED
265631	DETECTED
265632	DETECTED
265633	DETECTED
265634	DETECTED
265635	DETECTED
265636	DETECTED
265637	DETECTED
265638	DETECTED
265639	DETECTED
265640	DETECTED
265641	DETECTED
265642	DETECTED
265643	DETECTED
265644	DETECTED
265645	DETECTED
265646	DETECTED
265647	DETECTED
265648	DETECTED
265649	DETECTED
265650	DETECTED
265651	DETECTED
265652	DETECTED
265653	DETECTED
265654	DETECTED
265655	DETECTED
265656	DETECTED
265657	DETECTED
265658	DETECTED
265659	DETECTED
265660	NOT DETECTED
265661	DETECTED
265662	DETECTED
265663	DETECTED
265664	DETECTED
265665	DETECTED
265666	DETECTED
265667	DETECTED
265668	DETECTED
265669	DETECTED
265670	NOT DETECTED
265671	DETECTED
265672	DETECTED
265673	DETECTED
265674	DETECTED
265675	DETECTED
265676	DETECTED
265677	DETECTED
265678	DETECTED
265679	DETECTED
265680	DETECTED
265681	DETECTED
265682	DETECTED
265683	DETECTED
265684	DETECTED
265685	DETECTED
265686	DETECTED
265687	DETECTED
265688	DETECTED
265689	DETECTED
265690	NOT DETECTED
265691	DETECTED
265692	DETECTED
265693	DETECTED
265694	DETECTED
265695	DETECTED
265696	DETECTED
265697	NOT DETECTED
265698	DETECTED
265699	NOT DETECTED
265700	DETECTED
265701	DETECTED
265702	DETECTED
265703	NOT DETECTED
265704	DETECTED
265705	DETECTED
265706	DETECTED
265707	DETECTED
265708	DETECTED
265709	DETECTED
265710	DETECTED
265711	DETECTED
265712	NOT DETECTED
265713	NOT DETECTED
265714	DETECTED
265715	DETECTED
265716	NOT DETECTED
265717	NOT DETECTED
265718	DETECTED
265719	DETECTED
265720	DETECTED
265721	DETECTED
265722	DETECTED
265723	DETECTED
265724	DETECTED
265725	DETECTED
265726	DETECTED
265727	DETECTED
265728	NOT DETECTED
265729	DETECTED
265730	DETECTED
265731	DETECTED
265732	DETECTED
265733	DETECTED
265734	DETECTED
265735	NOT DETECTED
265736	DETECTED
265737	DETECTED
265738	DETECTED
265739	DETECTED
265740	DETECTED
265741	DETECTED
265742	DETECTED
265743	DETECTED
265744	DETECTED
265745	DETECTED
265746	DETECTED
265747	DETECTED
265748	DETECTED
265749	DETECTED
265750	DETECTED
265751	DETECTED
265752	DETECTED
265753	DETECTED
265754	DETECTED
265755	DETECTED
265756	DETECTED
265757	DETECTED
265758	DETECTED
265759	DETECTED
265760	DETECTED
265761	DETECTED
265762	DETECTED
265763	DETECTED
265764	DETECTED
265765	DETECTED
265766	DETECTED
265767	DETECTED
265768	DETECTED
265769	DETECTED
265770	DETECTED
265771	DETECTED
265772	DETECTED
265773	DETECTED
265774	DETECTED
265775	DETECTED
265776	DETECTED
265777	DETECTED
265778	DETECTED
265779	DETECTED
265780	DETECTED
265781	DETECTED
265782	DETECTED
265783	NOT DETECTED
265784	DETECTED
265785	DETECTED
265786	DETECTED
265787	DETECTED
265788	DETECTED
265789	DETECTED
265790	DETECTED
265791	DETECTED
265792	DETECTED
265793	DETECTED
265794	DETECTED
265795	DETECTED
265796	DETECTED
265797	DETECTED
265798	DETECTED
265799	DETECTED
265800	DETECTED
265801	DETECTED
265802	DETECTED
265803	DETECTED
265804	DETECTED
265805	DETECTED
265806	DETECTED
265807	DETECTED
265808	DETECTED
265809	DETECTED
265810	DETECTED
265811	DETECTED
265812	DETECTED
