gene_callers_id	detection
231124	DETECTED
231125	DETECTED
231126	DETECTED
231127	DETECTED
231128	DETECTED
231129	DETECTED
231130	DETECTED
231131	DETECTED
231132	DETECTED
231133	DETECTED
231134	DETECTED
231135	DETECTED
231136	DETECTED
231137	DETECTED
231138	DETECTED
231139	DETECTED
231140	DETECTED
231141	DETECTED
231142	DETECTED
231143	DETECTED
231144	DETECTED
231145	DETECTED
231146	DETECTED
231147	DETECTED
231148	DETECTED
231149	DETECTED
231150	DETECTED
231151	DETECTED
231152	DETECTED
231153	DETECTED
231154	DETECTED
231155	DETECTED
231156	DETECTED
231157	DETECTED
231158	DETECTED
231159	DETECTED
231160	DETECTED
231161	DETECTED
231162	DETECTED
231163	DETECTED
231164	DETECTED
231165	DETECTED
231166	DETECTED
231167	DETECTED
231168	DETECTED
231169	DETECTED
231170	DETECTED
231171	DETECTED
231172	DETECTED
231173	DETECTED
231174	DETECTED
231175	DETECTED
231176	DETECTED
231177	DETECTED
231178	DETECTED
231179	DETECTED
231180	DETECTED
231181	DETECTED
231182	DETECTED
231183	DETECTED
231184	DETECTED
231185	DETECTED
231186	DETECTED
231187	DETECTED
231188	DETECTED
231189	DETECTED
231190	DETECTED
231191	DETECTED
231192	DETECTED
231193	DETECTED
231194	DETECTED
231195	DETECTED
231196	DETECTED
231197	DETECTED
231198	DETECTED
231199	DETECTED
231200	DETECTED
231201	DETECTED
231202	DETECTED
231203	DETECTED
231204	DETECTED
231205	DETECTED
231206	DETECTED
231207	DETECTED
231208	DETECTED
231209	DETECTED
231210	DETECTED
231211	DETECTED
231212	DETECTED
231213	DETECTED
231214	DETECTED
231215	DETECTED
231216	DETECTED
231217	DETECTED
231218	DETECTED
231219	DETECTED
231220	DETECTED
231221	DETECTED
231222	DETECTED
231223	DETECTED
231224	DETECTED
231225	DETECTED
231226	DETECTED
231227	DETECTED
231228	DETECTED
231229	DETECTED
231230	DETECTED
231231	DETECTED
231232	DETECTED
231233	DETECTED
231234	DETECTED
231235	DETECTED
231236	DETECTED
231237	DETECTED
231238	DETECTED
231239	DETECTED
231240	DETECTED
231241	DETECTED
231242	DETECTED
231243	DETECTED
231244	DETECTED
231245	DETECTED
231246	DETECTED
231247	DETECTED
231248	DETECTED
231249	DETECTED
231250	DETECTED
231251	DETECTED
231252	DETECTED
231253	DETECTED
231254	DETECTED
231255	DETECTED
231256	DETECTED
231257	DETECTED
231258	DETECTED
231259	DETECTED
231260	DETECTED
231261	DETECTED
231262	DETECTED
231263	DETECTED
231264	DETECTED
231265	DETECTED
231266	DETECTED
231267	DETECTED
231268	DETECTED
231269	DETECTED
231270	DETECTED
231271	DETECTED
231272	DETECTED
231273	DETECTED
231274	DETECTED
231275	DETECTED
231276	DETECTED
231277	DETECTED
231278	DETECTED
231279	DETECTED
231280	DETECTED
231281	DETECTED
